forecast_date,target,target_end_date,location,type,quantile,value
2021-11-01,1 day ahead inc hosp,2021-11-02,10,quantile,0.01,10.50680054877505
2021-11-01,2 day ahead inc hosp,2021-11-03,10,quantile,0.01,10.75271297792638
2021-11-01,3 day ahead inc hosp,2021-11-04,10,quantile,0.01,10.565180325834845
2021-11-01,4 day ahead inc hosp,2021-11-05,10,quantile,0.01,10.47118764659727
2021-11-01,5 day ahead inc hosp,2021-11-06,10,quantile,0.01,6.62625559841458
2021-11-01,6 day ahead inc hosp,2021-11-07,10,quantile,0.01,10.340754038121284
2021-11-01,7 day ahead inc hosp,2021-11-08,10,quantile,0.01,8.184424539396385
2021-11-01,1 day ahead inc hosp,2021-11-02,35,quantile,0.01,40.07657189384851
2021-11-01,2 day ahead inc hosp,2021-11-03,35,quantile,0.01,46.82981342716363
2021-11-01,3 day ahead inc hosp,2021-11-04,35,quantile,0.01,41.98949079558894
2021-11-01,4 day ahead inc hosp,2021-11-05,35,quantile,0.01,45.46350977993006
2021-11-01,5 day ahead inc hosp,2021-11-06,35,quantile,0.01,35.304899124438016
2021-11-01,6 day ahead inc hosp,2021-11-07,35,quantile,0.01,43.89119685808631
2021-11-01,7 day ahead inc hosp,2021-11-08,35,quantile,0.01,31.416167098708613
2021-11-01,1 day ahead inc hosp,2021-11-02,25,quantile,0.01,45.444929200341015
2021-11-01,2 day ahead inc hosp,2021-11-03,25,quantile,0.01,43.14723961785038
2021-11-01,3 day ahead inc hosp,2021-11-04,25,quantile,0.01,45.11755324374282
2021-11-01,4 day ahead inc hosp,2021-11-05,25,quantile,0.01,43.8012412423762
2021-11-01,5 day ahead inc hosp,2021-11-06,25,quantile,0.01,22.375581138137125
2021-11-01,6 day ahead inc hosp,2021-11-07,25,quantile,0.01,43.1723881825496
2021-11-01,7 day ahead inc hosp,2021-11-08,25,quantile,0.01,35.74647553661656
2021-11-01,1 day ahead inc hosp,2021-11-02,16,quantile,0.01,29.288526675767333
2021-11-01,2 day ahead inc hosp,2021-11-03,16,quantile,0.01,29.522618975394433
2021-11-01,3 day ahead inc hosp,2021-11-04,16,quantile,0.01,29.26941962689518
2021-11-01,4 day ahead inc hosp,2021-11-05,16,quantile,0.01,27.987424685811202
2021-11-01,5 day ahead inc hosp,2021-11-06,16,quantile,0.01,21.352023944831522
2021-11-01,6 day ahead inc hosp,2021-11-07,16,quantile,0.01,27.93691962466351
2021-11-01,7 day ahead inc hosp,2021-11-08,16,quantile,0.01,23.161512370131756
2021-11-01,1 day ahead inc hosp,2021-11-02,28,quantile,0.01,20.346619611338358
2021-11-01,2 day ahead inc hosp,2021-11-03,28,quantile,0.01,19.380273838564264
2021-11-01,3 day ahead inc hosp,2021-11-04,28,quantile,0.01,20.17795791562391
2021-11-01,4 day ahead inc hosp,2021-11-05,28,quantile,0.01,19.48204572832379
2021-11-01,5 day ahead inc hosp,2021-11-06,28,quantile,0.01,10.133026114264243
2021-11-01,6 day ahead inc hosp,2021-11-07,28,quantile,0.01,19.317926985562945
2021-11-01,7 day ahead inc hosp,2021-11-08,28,quantile,0.01,15.950027691632393
2021-11-01,1 day ahead inc hosp,2021-11-02,40,quantile,0.01,46.88738146230642
2021-11-01,2 day ahead inc hosp,2021-11-03,40,quantile,0.01,49.657731796296446
2021-11-01,3 day ahead inc hosp,2021-11-04,40,quantile,0.01,47.10146422137746
2021-11-01,4 day ahead inc hosp,2021-11-05,40,quantile,0.01,48.69565269070088
2021-11-01,5 day ahead inc hosp,2021-11-06,40,quantile,0.01,31.082571686034036
2021-11-01,6 day ahead inc hosp,2021-11-07,40,quantile,0.01,47.95011523028145
2021-11-01,7 day ahead inc hosp,2021-11-08,40,quantile,0.01,37.11956817741839
2021-11-01,1 day ahead inc hosp,2021-11-02,30,quantile,0.01,73.7688763982468
2021-11-01,2 day ahead inc hosp,2021-11-03,30,quantile,0.01,76.89861143939443
2021-11-01,3 day ahead inc hosp,2021-11-04,30,quantile,0.01,77.06992646955757
2021-11-01,4 day ahead inc hosp,2021-11-05,30,quantile,0.01,75.39781625376601
2021-11-01,5 day ahead inc hosp,2021-11-06,30,quantile,0.01,83.30308451854053
2021-11-01,6 day ahead inc hosp,2021-11-07,30,quantile,0.01,74.43142385075716
2021-11-01,7 day ahead inc hosp,2021-11-08,30,quantile,0.01,65.79417774309958
2021-11-01,1 day ahead inc hosp,2021-11-02,20,quantile,0.01,30.723400027173277
2021-11-01,2 day ahead inc hosp,2021-11-03,20,quantile,0.01,32.045153574290545
2021-11-01,3 day ahead inc hosp,2021-11-04,20,quantile,0.01,30.907011481564897
2021-11-01,4 day ahead inc hosp,2021-11-05,20,quantile,0.01,31.924034023549844
2021-11-01,5 day ahead inc hosp,2021-11-06,20,quantile,0.01,19.68973848332164
2021-11-01,6 day ahead inc hosp,2021-11-07,20,quantile,0.01,31.070886778980274
2021-11-01,7 day ahead inc hosp,2021-11-08,20,quantile,0.01,23.853996484023135
2021-11-01,1 day ahead inc hosp,2021-11-02,19,quantile,0.01,40.29260216156192
2021-11-01,2 day ahead inc hosp,2021-11-03,19,quantile,0.01,43.455050181779434
2021-11-01,3 day ahead inc hosp,2021-11-04,19,quantile,0.01,41.06877987044629
2021-11-01,4 day ahead inc hosp,2021-11-05,19,quantile,0.01,42.87038938241405
2021-11-01,5 day ahead inc hosp,2021-11-06,19,quantile,0.01,28.617193685337167
2021-11-01,6 day ahead inc hosp,2021-11-07,19,quantile,0.01,41.55540361954802
2021-11-01,7 day ahead inc hosp,2021-11-08,19,quantile,0.01,31.514890608879103
2021-11-01,1 day ahead inc hosp,2021-11-02,46,quantile,0.01,17.53613442132004
2021-11-01,2 day ahead inc hosp,2021-11-03,46,quantile,0.01,19.97437729370473
2021-11-01,3 day ahead inc hosp,2021-11-04,46,quantile,0.01,18.09049297308741
2021-11-01,4 day ahead inc hosp,2021-11-05,46,quantile,0.01,18.83608543122319
2021-11-01,5 day ahead inc hosp,2021-11-06,46,quantile,0.01,14.98190650822115
2021-11-01,6 day ahead inc hosp,2021-11-07,46,quantile,0.01,18.59097805661014
2021-11-01,7 day ahead inc hosp,2021-11-08,46,quantile,0.01,13.830276594991535
2021-11-01,1 day ahead inc hosp,2021-11-02,22,quantile,0.01,27.671213092278247
2021-11-01,2 day ahead inc hosp,2021-11-03,22,quantile,0.01,25.674865116784527
2021-11-01,3 day ahead inc hosp,2021-11-04,22,quantile,0.01,27.427078806084786
2021-11-01,4 day ahead inc hosp,2021-11-05,22,quantile,0.01,26.092474240621918
2021-11-01,5 day ahead inc hosp,2021-11-06,22,quantile,0.01,12.834268277008858
2021-11-01,6 day ahead inc hosp,2021-11-07,22,quantile,0.01,26.023392181590843
2021-11-01,7 day ahead inc hosp,2021-11-08,22,quantile,0.01,21.93610987357515
2021-11-01,1 day ahead inc hosp,2021-11-02,08,quantile,0.01,130.76335781618621
2021-11-01,2 day ahead inc hosp,2021-11-03,08,quantile,0.01,150.9942184710111
2021-11-01,3 day ahead inc hosp,2021-11-04,08,quantile,0.01,136.01169327384383
2021-11-01,4 day ahead inc hosp,2021-11-05,08,quantile,0.01,143.50530002645027
2021-11-01,5 day ahead inc hosp,2021-11-06,08,quantile,0.01,119.53853405753405
2021-11-01,6 day ahead inc hosp,2021-11-07,08,quantile,0.01,140.8997502901488
2021-11-01,7 day ahead inc hosp,2021-11-08,08,quantile,0.01,104.75016792529499
2021-11-01,1 day ahead inc hosp,2021-11-02,41,quantile,0.01,35.009168747438906
2021-11-01,2 day ahead inc hosp,2021-11-03,41,quantile,0.01,34.59089881077323
2021-11-01,3 day ahead inc hosp,2021-11-04,41,quantile,0.01,34.96705065319998
2021-11-01,4 day ahead inc hosp,2021-11-05,41,quantile,0.01,34.348703134581065
2021-11-01,5 day ahead inc hosp,2021-11-06,41,quantile,0.01,19.594894412146562
2021-11-01,6 day ahead inc hosp,2021-11-07,41,quantile,0.01,33.7374751042458
2021-11-01,7 day ahead inc hosp,2021-11-08,41,quantile,0.01,27.08502857884734
2021-11-01,1 day ahead inc hosp,2021-11-02,09,quantile,0.01,21.54200129184517
2021-11-01,2 day ahead inc hosp,2021-11-03,09,quantile,0.01,20.081043756776296
2021-11-01,3 day ahead inc hosp,2021-11-04,09,quantile,0.01,21.34758155833216
2021-11-01,4 day ahead inc hosp,2021-11-05,09,quantile,0.01,20.43653369365614
2021-11-01,5 day ahead inc hosp,2021-11-06,09,quantile,0.01,10.056729604089387
2021-11-01,6 day ahead inc hosp,2021-11-07,09,quantile,0.01,20.325568057900615
2021-11-01,7 day ahead inc hosp,2021-11-08,09,quantile,0.01,17.078097355622543
2021-11-01,1 day ahead inc hosp,2021-11-02,11,quantile,0.01,5.21041421947528
2021-11-01,2 day ahead inc hosp,2021-11-03,11,quantile,0.01,5.06664872168962
2021-11-01,3 day ahead inc hosp,2021-11-04,11,quantile,0.01,5.18836961860217
2021-11-01,4 day ahead inc hosp,2021-11-05,11,quantile,0.01,5.013387984112603
2021-11-01,5 day ahead inc hosp,2021-11-06,11,quantile,0.01,2.726557016910077
2021-11-01,6 day ahead inc hosp,2021-11-07,11,quantile,0.01,4.9845205192972415
2021-11-01,7 day ahead inc hosp,2021-11-08,11,quantile,0.01,4.064672379157811
2021-11-01,1 day ahead inc hosp,2021-11-02,31,quantile,0.01,28.194147769082175
2021-11-01,2 day ahead inc hosp,2021-11-03,31,quantile,0.01,31.70808975774721
2021-11-01,3 day ahead inc hosp,2021-11-04,31,quantile,0.01,29.045252515021332
2021-11-01,4 day ahead inc hosp,2021-11-05,31,quantile,0.01,31.49698435983836
2021-11-01,5 day ahead inc hosp,2021-11-06,31,quantile,0.01,21.83561934138153
2021-11-01,6 day ahead inc hosp,2021-11-07,31,quantile,0.01,30.167215181320433
2021-11-01,7 day ahead inc hosp,2021-11-08,31,quantile,0.01,22.27130511498243
2021-11-01,1 day ahead inc hosp,2021-11-02,49,quantile,0.01,47.80924083641784
2021-11-01,2 day ahead inc hosp,2021-11-03,49,quantile,0.01,52.43247474098586
2021-11-01,3 day ahead inc hosp,2021-11-04,49,quantile,0.01,49.37199511293898
2021-11-01,4 day ahead inc hosp,2021-11-05,49,quantile,0.01,51.14384716756078
2021-11-01,5 day ahead inc hosp,2021-11-06,49,quantile,0.01,37.34047743937209
2021-11-01,6 day ahead inc hosp,2021-11-07,49,quantile,0.01,49.65526805987505
2021-11-01,7 day ahead inc hosp,2021-11-08,49,quantile,0.01,37.24980924738422
2021-11-01,1 day ahead inc hosp,2021-11-02,05,quantile,0.01,24.561971754548676
2021-11-01,2 day ahead inc hosp,2021-11-03,05,quantile,0.01,24.494247051272154
2021-11-01,3 day ahead inc hosp,2021-11-04,05,quantile,0.01,24.38660901288125
2021-11-01,4 day ahead inc hosp,2021-11-05,05,quantile,0.01,24.825338829914084
2021-11-01,5 day ahead inc hosp,2021-11-06,05,quantile,0.01,13.716379093488484
2021-11-01,6 day ahead inc hosp,2021-11-07,05,quantile,0.01,24.296642527441758
2021-11-01,7 day ahead inc hosp,2021-11-08,05,quantile,0.01,19.178887669047644
2021-11-01,1 day ahead inc hosp,2021-11-02,04,quantile,0.01,120.5748599156528
2021-11-01,2 day ahead inc hosp,2021-11-03,04,quantile,0.01,136.6480995702435
2021-11-01,3 day ahead inc hosp,2021-11-04,04,quantile,0.01,124.54389901858028
2021-11-01,4 day ahead inc hosp,2021-11-05,04,quantile,0.01,131.267744024653
2021-11-01,5 day ahead inc hosp,2021-11-06,04,quantile,0.01,98.54442397427927
2021-11-01,6 day ahead inc hosp,2021-11-07,04,quantile,0.01,128.10328692821167
2021-11-01,7 day ahead inc hosp,2021-11-08,04,quantile,0.01,94.78285730557657
2021-11-01,1 day ahead inc hosp,2021-11-02,21,quantile,0.01,68.34539451286983
2021-11-01,2 day ahead inc hosp,2021-11-03,21,quantile,0.01,74.44775849055252
2021-11-01,3 day ahead inc hosp,2021-11-04,21,quantile,0.01,69.27525890235998
2021-11-01,4 day ahead inc hosp,2021-11-05,21,quantile,0.01,71.09190523122597
2021-11-01,5 day ahead inc hosp,2021-11-06,21,quantile,0.01,50.70565534131574
2021-11-01,6 day ahead inc hosp,2021-11-07,21,quantile,0.01,70.29311571306225
2021-11-01,7 day ahead inc hosp,2021-11-08,21,quantile,0.01,54.1909187993898
2021-11-01,1 day ahead inc hosp,2021-11-02,45,quantile,0.01,35.60624677483403
2021-11-01,2 day ahead inc hosp,2021-11-03,45,quantile,0.01,34.29026298196717
2021-11-01,3 day ahead inc hosp,2021-11-04,45,quantile,0.01,35.32762440245805
2021-11-01,4 day ahead inc hosp,2021-11-05,45,quantile,0.01,34.827311845856855
2021-11-01,5 day ahead inc hosp,2021-11-06,45,quantile,0.01,18.36175155000804
2021-11-01,6 day ahead inc hosp,2021-11-07,45,quantile,0.01,34.29115160072511
2021-11-01,7 day ahead inc hosp,2021-11-08,45,quantile,0.01,27.97915119190976
2021-11-01,1 day ahead inc hosp,2021-11-02,17,quantile,0.01,95.38546450154011
2021-11-01,2 day ahead inc hosp,2021-11-03,17,quantile,0.01,92.41260892963815
2021-11-01,3 day ahead inc hosp,2021-11-04,17,quantile,0.01,94.90320753418352
2021-11-01,4 day ahead inc hosp,2021-11-05,17,quantile,0.01,92.63309911406337
2021-11-01,5 day ahead inc hosp,2021-11-06,17,quantile,0.01,49.54158424626262
2021-11-01,6 day ahead inc hosp,2021-11-07,17,quantile,0.01,91.47374918462944
2021-11-01,7 day ahead inc hosp,2021-11-08,17,quantile,0.01,74.58430555537524
2021-11-01,1 day ahead inc hosp,2021-11-02,34,quantile,0.01,60.07414592466212
2021-11-01,2 day ahead inc hosp,2021-11-03,34,quantile,0.01,57.57206392166292
2021-11-01,3 day ahead inc hosp,2021-11-04,34,quantile,0.01,59.46959102445967
2021-11-01,4 day ahead inc hosp,2021-11-05,34,quantile,0.01,58.69072394085452
2021-11-01,5 day ahead inc hosp,2021-11-06,34,quantile,0.01,30.093753377449122
2021-11-01,6 day ahead inc hosp,2021-11-07,34,quantile,0.01,57.79208961994052
2021-11-01,7 day ahead inc hosp,2021-11-08,34,quantile,0.01,47.268570657247324
2021-11-01,1 day ahead inc hosp,2021-11-02,29,quantile,0.01,45.68101265213755
2021-11-01,2 day ahead inc hosp,2021-11-03,29,quantile,0.01,44.76797313094573
2021-11-01,3 day ahead inc hosp,2021-11-04,29,quantile,0.01,45.26978501239444
2021-11-01,4 day ahead inc hosp,2021-11-05,29,quantile,0.01,45.687465228259036
2021-11-01,5 day ahead inc hosp,2021-11-06,29,quantile,0.01,24.292112595001374
2021-11-01,6 day ahead inc hosp,2021-11-07,29,quantile,0.01,44.696448806398976
2021-11-01,7 day ahead inc hosp,2021-11-08,29,quantile,0.01,35.77576231842947
2021-11-01,1 day ahead inc hosp,2021-11-02,54,quantile,0.01,36.27730781842138
2021-11-01,2 day ahead inc hosp,2021-11-03,54,quantile,0.01,39.19960844915502
2021-11-01,3 day ahead inc hosp,2021-11-04,54,quantile,0.01,36.65433198215972
2021-11-01,4 day ahead inc hosp,2021-11-05,54,quantile,0.01,37.58931583292977
2021-11-01,5 day ahead inc hosp,2021-11-06,54,quantile,0.01,29.171211417475927
2021-11-01,6 day ahead inc hosp,2021-11-07,54,quantile,0.01,36.95995835485265
2021-11-01,7 day ahead inc hosp,2021-11-08,54,quantile,0.01,29.238569371090843
2021-11-01,1 day ahead inc hosp,2021-11-02,24,quantile,0.01,42.489507445135274
2021-11-01,2 day ahead inc hosp,2021-11-03,24,quantile,0.01,41.056420871437155
2021-11-01,3 day ahead inc hosp,2021-11-04,24,quantile,0.01,42.10064283574384
2021-11-01,4 day ahead inc hosp,2021-11-05,24,quantile,0.01,41.72684841190667
2021-11-01,5 day ahead inc hosp,2021-11-06,24,quantile,0.01,21.73340938208224
2021-11-01,6 day ahead inc hosp,2021-11-07,24,quantile,0.01,41.07222499459958
2021-11-01,7 day ahead inc hosp,2021-11-08,24,quantile,0.01,33.345256462103826
2021-11-01,1 day ahead inc hosp,2021-11-02,18,quantile,0.01,90.55989876341961
2021-11-01,2 day ahead inc hosp,2021-11-03,18,quantile,0.01,94.08465301119139
2021-11-01,3 day ahead inc hosp,2021-11-04,18,quantile,0.01,90.96572939354046
2021-11-01,4 day ahead inc hosp,2021-11-05,18,quantile,0.01,87.27214051545579
2021-11-01,5 day ahead inc hosp,2021-11-06,18,quantile,0.01,61.014541710892004
2021-11-01,6 day ahead inc hosp,2021-11-07,18,quantile,0.01,88.0749299783981
2021-11-01,7 day ahead inc hosp,2021-11-08,18,quantile,0.01,70.09772040017701
2021-11-01,1 day ahead inc hosp,2021-11-02,51,quantile,0.01,61.088861947036
2021-11-01,2 day ahead inc hosp,2021-11-03,51,quantile,0.01,59.021495710208306
2021-11-01,3 day ahead inc hosp,2021-11-04,51,quantile,0.01,60.55419117124505
2021-11-01,4 day ahead inc hosp,2021-11-05,51,quantile,0.01,59.97323300624557
2021-11-01,5 day ahead inc hosp,2021-11-06,51,quantile,0.01,31.727570928642937
2021-11-01,6 day ahead inc hosp,2021-11-07,51,quantile,0.01,58.957516252235635
2021-11-01,7 day ahead inc hosp,2021-11-08,51,quantile,0.01,47.86404054583509
2021-11-01,1 day ahead inc hosp,2021-11-02,42,quantile,0.01,173.7146597949074
2021-11-01,2 day ahead inc hosp,2021-11-03,42,quantile,0.01,185.42628053706468
2021-11-01,3 day ahead inc hosp,2021-11-04,42,quantile,0.01,175.97814961210432
2021-11-01,4 day ahead inc hosp,2021-11-05,42,quantile,0.01,178.22141480584247
2021-11-01,5 day ahead inc hosp,2021-11-06,42,quantile,0.01,122.22652149186057
2021-11-01,6 day ahead inc hosp,2021-11-07,42,quantile,0.01,175.91836187213738
2021-11-01,7 day ahead inc hosp,2021-11-08,42,quantile,0.01,135.4902257085217
2021-11-01,1 day ahead inc hosp,2021-11-02,13,quantile,0.01,94.56567090875659
2021-11-01,2 day ahead inc hosp,2021-11-03,13,quantile,0.01,95.37887688804723
2021-11-01,3 day ahead inc hosp,2021-11-04,13,quantile,0.01,94.4098193680638
2021-11-01,4 day ahead inc hosp,2021-11-05,13,quantile,0.01,93.80642967942039
2021-11-01,5 day ahead inc hosp,2021-11-06,13,quantile,0.01,54.665410475463865
2021-11-01,6 day ahead inc hosp,2021-11-07,13,quantile,0.01,93.07068787463669
2021-11-01,7 day ahead inc hosp,2021-11-08,13,quantile,0.01,73.81899412629696
