,date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
0,2020-08-02,54,West Virginia,15,13.571428571428571,120,138.42857142857142,1.667824069978406,0.13579404770535958
1,2020-08-03,54,West Virginia,16,12.714285714285714,120,139.85714285714286,1.613694660170464,0.13055252470396572
2,2020-08-04,54,West Virginia,17,12.857142857142858,81,134.14285714285714,1.5943633842367655,0.13062138124348374
3,2020-08-05,54,West Virginia,10,13.285714285714286,103,126.42857142857143,1.5786007638331003,0.1290309431577307
4,2020-08-06,54,West Virginia,15,12.571428571428571,116,129.0,1.553069821380443,0.12645626985609226
5,2020-08-07,54,West Virginia,17,13.857142857142858,174,124.71428571428571,1.5440057497589246,0.12506748691091332
6,2020-08-08,54,West Virginia,11,14.428571428571429,111,117.85714285714286,1.5222104120425128,0.12623405184598904
7,2020-08-09,54,West Virginia,9,13.571428571428571,132,119.57142857142857,1.531956000752988,0.12626238838871084
8,2020-08-10,54,West Virginia,10,12.714285714285714,62,111.28571428571429,1.5062178471266312,0.12522376418685896
9,2020-08-11,54,West Virginia,14,12.285714285714286,122,117.14285714285714,1.469242145122186,0.12417810928517459
10,2020-08-12,54,West Virginia,11,12.428571428571429,139,122.28571428571429,1.4254628358530264,0.1247342386042015
11,2020-08-13,54,West Virginia,7,11.285714285714286,145,126.42857142857143,1.3943975320741162,0.12570457313151812
12,2020-08-14,54,West Virginia,12,10.571428571428571,114,117.85714285714286,1.3751045503634207,0.12494276989914428
13,2020-08-15,54,West Virginia,9,10.285714285714286,185,128.42857142857142,1.3415325078250633,0.12356921448162055
14,2020-08-16,54,West Virginia,9,10.285714285714286,105,124.57142857142857,1.298483956949394,0.12561770622787005
15,2020-08-17,54,West Virginia,10,10.285714285714286,74,126.28571428571429,1.2995001661562986,0.12736150774873276
16,2020-08-18,54,West Virginia,28,12.285714285714286,97,122.71428571428571,1.2752613165175921,0.12833495171823112
17,2020-08-19,54,West Virginia,15,12.857142857142858,69,112.71428571428571,1.2838185662128703,0.12853771304773054
18,2020-08-20,54,West Virginia,11,13.428571428571429,180,117.71428571428571,1.2689819842175671,0.12709788990778806
19,2020-08-21,54,West Virginia,12,13.428571428571429,90,114.28571428571429,1.2526572162223932,0.12738641387702904
20,2020-08-22,54,West Virginia,11,13.714285714285714,108,103.28571428571429,1.2646633000370113,0.1269891493968333
21,2020-08-23,54,West Virginia,9,13.714285714285714,88,100.85714285714286,1.2549953674852057,0.12652914929334916
22,2020-08-24,54,West Virginia,20,15.142857142857142,42,96.28571428571429,1.246475837965454,0.12674169087725384
23,2020-08-25,54,West Virginia,14,13.142857142857142,84,94.42857142857143,1.2678759529771317,0.12791511587914642
24,2020-08-26,54,West Virginia,20,13.857142857142858,145,105.28571428571429,1.2797049863932932,0.12762696492400488
25,2020-08-27,54,West Virginia,22,15.428571428571429,89,92.28571428571429,1.3127978637124718,0.12832601514463635
26,2020-08-28,54,West Virginia,18,16.285714285714285,193,107.0,1.3190948098839559,0.12885969372603312
27,2020-08-29,54,West Virginia,13,16.571428571428573,144,112.14285714285714,1.3468189352087003,0.1293537546775441
28,2020-08-30,54,West Virginia,11,16.857142857142858,139,119.42857142857143,1.368257993814146,0.12843706366720012
29,2020-08-31,54,West Virginia,9,15.285714285714286,140,133.42857142857142,1.3827629326064996,0.12637891612456156
30,2020-09-01,54,West Virginia,16,15.571428571428571,264,159.14285714285714,1.3536334298812394,0.1259170707206059
