date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
2020-12-14,19,Iowa,106,116.28571428571429,1062,1905.7142857142858,7.387907244257538,0.40808155320310524
2020-12-15,19,Iowa,99,113.0,942,1799.357142857143,7.373448281440266,0.4079002482380866
2020-12-16,19,Iowa,95,111.14285714285714,2521,1758.2142857142858,7.3139226254576215,0.40807459256460094
2020-12-17,19,Iowa,92,108.28571428571429,1436,1677.5714285714287,7.256634901708486,0.407286710372255
2020-12-18,19,Iowa,93,104.42857142857143,2497,1655.4285714285713,7.151198446203451,0.407106447441972
2020-12-19,19,Iowa,70,102.64285714285714,2252,1683.857142857143,7.033991022763653,0.4071135323762757
2020-12-20,19,Iowa,71,99.71428571428571,370,1617.0,6.983518025351701,0.4067052826981248
2020-12-21,19,Iowa,112,97.57142857142857,1407,1625.142857142857,6.886470896748389,0.4095792178457489
2020-12-22,19,Iowa,101,96.07142857142857,1558,1595.7142857142858,6.846232561443468,0.41021927445770984
2020-12-23,19,Iowa,103,94.28571428571429,1818,1559.4285714285713,6.801508243967364,0.40872018534288707
2020-12-24,19,Iowa,70,90.28571428571429,1549,1507.7142857142858,6.741321303925276,0.4049087819805768
2020-12-25,19,Iowa,70,88.42857142857143,605,1475.2857142857142,6.389328871274117,0.39790850058681493
2020-12-26,19,Iowa,75,88.71428571428571,527,1413.142857142857,6.262113774267954,0.399639558398135
2020-12-27,19,Iowa,86,88.78571428571429,506,1360.7142857142858,6.109894483817905,0.3994009683558466
2020-12-28,19,Iowa,98,88.21428571428571,1350,1381.2857142857142,6.033588536536629,0.4004080061489234
2020-12-29,19,Iowa,76,86.57142857142857,1661,1432.642857142857,6.050043905288831,0.40041604260232183
2020-12-30,19,Iowa,81,85.57142857142857,1754,1377.857142857143,6.02957246739561,0.39979431080461014
2020-12-31,19,Iowa,89,85.35714285714286,1648,1393.0,6.158931149720499,0.40075255105626484
2021-01-01,19,Iowa,68,83.57142857142857,1268,1305.2142857142858,5.8848903843051605,0.39775025654983626
