key,level
CAF6,gadm1
CAF7,gadm1
CAF8,gadm1
CAF9,gadm1
CAF10,gadm1
CAF11,gadm1
CAF12,gadm1
CAF13,gadm1
CAF14,gadm1
CAF15,gadm1
CAF16,gadm1
CAF17,gadm1
TCD1,gadm1
TCD2,gadm1
TCD3,gadm1
TCD4,gadm1
TCD5,gadm1
TCD6,gadm1
TCD7,gadm1
TCD8,gadm1
TCD9,gadm1
TCD10,gadm1
TCD11,gadm1
TCD12,gadm1
TCD13,gadm1
TCD14,gadm1
TCD15,gadm1
TCD16,gadm1
TCD17,gadm1
TCD18,gadm1
TCD19,gadm1
TCD20,gadm1
TCD21,gadm1
TCD22,gadm1
TCD23,gadm1
CHL1,gadm1
CHL2,gadm1
CHL3,gadm1
CHL4,gadm1
CHL5,gadm1
CHL6,gadm1
CHL7,gadm1
CHL8,gadm1
CHL9,gadm1
CHL10,gadm1
CHL11,gadm1
CHL12,gadm1
CHL13,gadm1
CHL14,gadm1
CHL15,gadm1
COL1,gadm1
COL2,gadm1
COL3,gadm1
COL4,gadm1
COL5,gadm1
COL6,gadm1
COL7,gadm1
COL8,gadm1
COL9,gadm1
COL10,gadm1
COL11,gadm1
COL12,gadm1
COL13,gadm1
COL14,gadm1
COL15,gadm1
COL16,gadm1
COL17,gadm1
COL18,gadm1
COL19,gadm1
COL20,gadm1
COL21,gadm1
COL22,gadm1
COL23,gadm1
COL24,gadm1
COL25,gadm1
COL26,gadm1
COL27,gadm1
COL28,gadm1
COL29,gadm1
COL30,gadm1
COL31,gadm1
COL32,gadm1
CRI1,gadm1
CRI2,gadm1
CRI3,gadm1
CRI4,gadm1
CRI5,gadm1
CRI6,gadm1
CRI7,gadm1
CIV1,gadm1
CIV2,gadm1
CIV3,gadm1
CIV4,gadm1
CIV5,gadm1
CIV6,gadm1
CIV7,gadm1
CIV8,gadm1
CIV9,gadm1
CIV10,gadm1
CIV11,gadm1
CIV12,gadm1
CIV13,gadm1
CIV14,gadm1
COD1,gadm1
COD2,gadm1
COD3,gadm1
COD4,gadm1
COD5,gadm1
COD6,gadm1
COD7,gadm1
COD8,gadm1
COD9,gadm1
DOM1,gadm1
DOM2,gadm1
DOM3,gadm1
DOM4,gadm1
DOM5,gadm1
DOM6,gadm1
DOM7,gadm1
DOM8,gadm1
DOM9,gadm1
DOM10,gadm1
DOM11,gadm1
DOM12,gadm1
DOM13,gadm1
DOM14,gadm1
DOM15,gadm1
DOM16,gadm1
DOM17,gadm1
DOM18,gadm1
DOM19,gadm1
DOM20,gadm1
DOM21,gadm1
DOM22,gadm1
DOM23,gadm1
DOM24,gadm1
DOM25,gadm1
DOM26,gadm1
DOM27,gadm1
DOM28,gadm1
DOM29,gadm1
DOM30,gadm1
DOM31,gadm1
DOM32,gadm1
ECU1,gadm1
ECU2,gadm1
ECU3,gadm1
ECU4,gadm1
ECU5,gadm1
ECU6,gadm1
ECU7,gadm1
ECU8,gadm1
ECU9,gadm1
ECU10,gadm1
ECU11,gadm1
ECU12,gadm1
ECU13,gadm1
ECU14,gadm1
ECU15,gadm1
ECU16,gadm1
ECU17,gadm1
ECU18,gadm1
ECU19,gadm1
ECU20,gadm1
ECU21,gadm1
ECU22,gadm1
ECU23,gadm1
ECU24,gadm1
EGY1,gadm1
EGY2,gadm1
EGY3,gadm1
EGY4,gadm1
EGY5,gadm1
EGY6,gadm1
EGY7,gadm1
EGY8,gadm1
EGY9,gadm1
EGY10,gadm1
EGY11,gadm1
EGY12,gadm1
EGY13,gadm1
EGY14,gadm1
